795696	1255925	22717	2074338	AL
122640	164676	13179	300495	AK
1025232	1233654	40368	2299254	AZ
394409	647744	27315	1069468	AR
7854285	4839958	344304	13038547	CA
1323102	1185243	61177	2569522	CO
905083	634892	18985	1558960	CT
242584	165484	5853	413921	DE
267070	21381	5313	293764	DC
4237756	4163447	72976	8474179	FL
1773827	2078688	47535	3900050	GA
306658	121015	7024	434697	HI
212787	420911	18576	652274	ID
3019512	2135216	87286	5242014	IL
1152887	1420543	51104	2624534	IN
822544	730617	29019	1582180	IA
440726	692634	26611	1159971	KS
679370	1087190	30652	1797212	KY
809141	1152262	32662	1994065	LA
401306	292276	19598	713180	ME
1677844	971869	57614	2707327	MD
1921290	1188314	58163	3167767	MA
2564569	2115256	51136	4730961	MI
1546167	1320225	70169	2936561	MN
562949	710746	11889	1285584	MS
1223796	1482440	51087	2757323	MO
201839	267928	14281	484048	MT
302081	475064	17234	794379	NE
531373	463567	19978	1014918	NV
369561	329918	11493	710972	NH
2125101	1477568	37623	3640292	NJ
415335	335788	32635	783758	NM
4485741	2490431	104987	7081159	NY
2178391	2270395	56586	4505372	NC
124827	188163	9637	322627	ND
2827709	2661437	91701	5580847	OH
443547	891325	0	1334872	OK
970488	754175	64607	1789270	OR
2990274	2680434	82962	5753670	PA
279677	157204	9168	446049	RI
865941	1071645	26532	1964118	SC
145039	210610	8166	363815	SD
960709	1462330	35538	2458577	TN
3308124	4569843	115884	7993851	TX
251813	740600	25027	1017440	UT
199239	92698	7353	299290	VT
1971820	1822522	60147	3854489	VA
1755396	1290670	79450	3125516	WA
238269	417655	14514	670438	WV
1620985	1407966	39483	3068434	WI
69286	170962	8813	249061	WY
